木下ひなた	4位	26097	木下組の鉄砲玉	2000504
木下ひなた	5位	1000000000000005406	chemblue	1882142
木下ひなた	6位	800000000000052000	ばんぞう	1510195
木下ひなた	7位	700000000000010150	etamasko	1501275
木下ひなた	8位	1400000000000014289	Ccliys	1433128
木下ひなた	9位	1500000000000033871	hitohabune	1378988
木下ひなた	10位	700000000000055469	たこたこす	1372373
矢吹可奈	1位	900000000000078647	みみ@片両同僚も募集中	4864573
矢吹可奈	2位	500000000000000206	れるふ	3625359
矢吹可奈	3位	500000000000003073	ロロコロ	3092566
矢吹可奈	4位	700000000000014862	霙(同僚さん募集中)	2691208
矢吹可奈	5位	1300000000000080871	夕樹	2536617
矢吹可奈	6位	1685	ヒトデ	2528367
矢吹可奈	7位	600000000000081764	琢磨@DARKMIND	2500840
矢吹可奈	8位	1200000000000049895	きこう	2241022
矢吹可奈	9位	100000000000072201	tarou tanaka	2168832
矢吹可奈	10位	1400000000000003589	kgy	2057790
横山奈緒	1位	900000000000005485	ISO	3049007
横山奈緒	2位	200000000000031108	しるぼく	3002626
横山奈緒	3位	100000000000017385	らむだちゃん	2604144
横山奈緒	4位	35909	しらす	2503611
横山奈緒	5位	1400000000000052872	みね	2395889
横山奈緒	6位	1100000000000052704	すーあんこ	2175530
横山奈緒	7位	100000000000013626	カイソ	2123551
横山奈緒	8位	1400000000000083051	そら◎	2017623
横山奈緒	9位	900000000000096544	とるみす	2015691
横山奈緒	10位	800000000000014121	まかにゃ	2008045
二階堂千鶴	1位	400000000000074767	ノラ	2613415
二階堂千鶴	2位	1100000000000021850	無限いぬ	2205999
二階堂千鶴	3位	1200000000000000710	アイアン・P	2091953
二階堂千鶴	4位	900000000000009834	エティ	2017723
二階堂千鶴	5位	400000000000001977	naonao	2002460
二階堂千鶴	6位	900000000000015481	いに	1575227
二階堂千鶴	7位	500000000000011416	さち＠アリス	1574105
二階堂千鶴	8位	800000000000006526	山田秋沙	1514918
二階堂千鶴	9位	1100000000000000019	あとら	1503191
二階堂千鶴	10位	800000000000054021	フライドポテト焼きそば	1452874
馬場このみ	1位	700000000000002843	よどどの	3170001
馬場このみ	2位	600000000000036118	20円	3170000
馬場このみ	3位	1200000000000082502	doma	2700889
馬場このみ	4位	1500000000000049114	Genjou	2559326
馬場このみ	5位	1500000000000027862	しそもり	2476752
馬場このみ	6位	600000000000100293	バサシ	2321096
馬場このみ	7位	1300000000000075634	モンテスマ	2306374
馬場このみ	8位	1000000000000000369	よしむね	2298695
馬場このみ	9位	1000000000000072441	剣聖オグマ	2273072
馬場このみ	10位	1100000000000077816	ナポリ	2248585
大神環	1位	600000000000095064	桜花	3674691
大神環	2位	1300000000000007415	かぐら	3519018
大神環	3位	1400000000000009524	由々識	2593017
大神環	4位	1500000000000088269	釈迦堂	2229222
大神環	5位	1300000000000003923	アルシェイド(同僚募集中)	2204633
大神環	6位	91990	海老ボクサー	2185032
大神環	7位	200000000000007128	りょうが	2115777
大神環	8位	600000000000056547	とし	2046789
大神環	9位	600000000000000272	ぬん	2004587
大神環	10位	800000000000043354	かすにち	1871268
豊川風花	1位	200000000000027830	a23a1438	2189104
豊川風花	2位	96013	八九寺	2007935
豊川風花	3位	400000000000029415	ろんろん	1854021
豊川風花	4位	300000000000004832	司牡丹	1789526
豊川風花	5位	600000000000100112	もぐたろー	1789319
