チーム北沢志保27位	59095 pt
チーム北沢志保28位	58768 pt
チーム北沢志保29位	57736 pt
チーム北沢志保30位	56449 pt
チーム舞浜歩1位	277722 pt
チーム舞浜歩2位	163936 pt
チーム舞浜歩3位	161833 pt
チーム舞浜歩4位	160763 pt
チーム舞浜歩5位	122289 pt
チーム舞浜歩6位	115427 pt
チーム舞浜歩7位	76581 pt
チーム舞浜歩8位	71910 pt
チーム舞浜歩9位	71336 pt
チーム舞浜歩10位	71024 pt
チーム舞浜歩11位	70124 pt
チーム舞浜歩12位	68803 pt
チーム舞浜歩13位	68543 pt
チーム舞浜歩14位	65581 pt
チーム舞浜歩15位	60308 pt
チーム舞浜歩16位	60280 pt
チーム舞浜歩17位	59107 pt
チーム舞浜歩18位	57697 pt
チーム舞浜歩19位	52802 pt
チーム舞浜歩20位	46038 pt
チーム舞浜歩21位	41294 pt
チーム舞浜歩22位	39806 pt
チーム舞浜歩23位	34793 pt
チーム舞浜歩24位	32268 pt
チーム舞浜歩25位	30247 pt
チーム舞浜歩26位	29120 pt
チーム舞浜歩27位	27196 pt
チーム舞浜歩28位	26954 pt
チーム舞浜歩29位	26127 pt
チーム舞浜歩30位	22350 pt
チーム木下ひなた1位	262737 pt
チーム木下ひなた2位	233163 pt
チーム木下ひなた3位	195267 pt
チーム木下ひなた4位	139552 pt
チーム木下ひなた5位	105736 pt
チーム木下ひなた6位	103584 pt
チーム木下ひなた7位	97453 pt
チーム木下ひなた8位	80338 pt
チーム木下ひなた9位	69037 pt
チーム木下ひなた10位	66372 pt
チーム木下ひなた11位	65127 pt
チーム木下ひなた12位	64095 pt
チーム木下ひなた13位	60735 pt
チーム木下ひなた14位	56599 pt
チーム木下ひなた15位	51924 pt
チーム木下ひなた16位	47765 pt
チーム木下ひなた17位	44410 pt
チーム木下ひなた18位	42300 pt
チーム木下ひなた19位	39770 pt
チーム木下ひなた20位	34836 pt
チーム木下ひなた21位	34465 pt
チーム木下ひなた22位	34293 pt
チーム木下ひなた23位	31335 pt
チーム木下ひなた24位	29307 pt
チーム木下ひなた25位	29281 pt
チーム木下ひなた26位	28577 pt
チーム木下ひなた27位	27407 pt
チーム木下ひなた28位	25783 pt
チーム木下ひなた29位	22434 pt
チーム木下ひなた30位	20466 pt
チーム矢吹可奈1位	259439 pt
チーム矢吹可奈2位	221884 pt
チーム矢吹可奈3位	217379 pt
チーム矢吹可奈4位	198324 pt
チーム矢吹可奈5位	196147 pt
